Problem,Method,Level,DOF,Cells,ActiveDOF,ActiveFraction,Halo,TouchedCells,LocalNNZ,L2,H1semi,Energy,Estimator,ResidualReduction,Cycle_s,Cumulative_s
High-contrast interface (1e4),HLRC-r2,7,3823,7511,3191,0.864769647696477,2,6811,21449,2.3729230010147907e-05,0.0023359729991375344,0.0023585554793140126,0.013542986410915642,0.022245966557312084,0.2596643800000038,0.49305977999972583
High-contrast interface (1e4),RCHC,0,81,128,49,1.0,-1,128,289,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.1288943316842016,0.0,0.002340840999977445,0.002340840999977445
High-contrast interface (1e4),RCHC,1,128,222,75,0.78125,1,177,469,0.0005040203680614501,0.015966418255862754,0.015979383738736797,0.08651055091439844,0.03222473418089989,0.008669577999853573,0.011010418999831018
High-contrast interface (1e4),RCHC,2,210,376,126,0.75,1,320,744,0.0003058202883746497,0.010895057951460443,0.010912589900757738,0.06331849548521268,0.039964469550147624,0.012257951000037792,0.02326836999986881
High-contrast interface (1e4),RCHC,3,369,692,264,0.8123076923076923,1,598,1692,0.0001954700931738701,0.007956233604791776,0.007980123588090074,0.04465006486432574,0.053721810051993224,0.023896933000060017,0.047165302999928826
High-contrast interface (1e4),RCHC,4,661,1256,437,0.7319932998324958,1,1004,2785,0.00013479132700243405,0.005721694156442406,0.005754575472353118,0.032654978389655205,0.047056493622117355,0.04029174900006183,0.08745705199999065
High-contrast interface (1e4),RCHC,5,1161,2246,766,0.7046918123275069,1,1703,5036,9.923416607039804e-05,0.004354173523297988,0.004397010307252742,0.024497503488185864,0.054671501477939824,0.0742733470000303,0.16173039900002095
High-contrast interface (1e4),RCHC,6,2051,4007,1376,0.7027579162410623,1,3006,9062,8.705307462821472e-05,0.0031044875589261067,0.003164251660506267,0.01804950871430417,0.05081822626183537,0.12605280399998264,0.2877832030000036
High-contrast interface (1e4),RCHC,7,3888,7640,2777,0.7397442727757059,1,6124,18365,7.787713551506035e-05,0.0023779859510706654,0.0024004405304677173,0.013388248764946417,0.0656121083672714,0.25842299400005686,0.5462061970000605
Localized reaction-diffusion layer,HLRC-r0,0,81,128,49,1.0,0,128,289,0.0026384577397953603,0.06120865148715092,0.0612654917234832,0.3110934215764373,0.0,0.0022781789999726243,0.0022781789999726243
Localized reaction-diffusion layer,HLRC-r0,1,86,138,5,0.09259259259259259,0,16,15,0.001503226911492073,0.04658170120560513,0.04660595003168275,0.2355258900016345,0.3214163401096122,0.0028242280000085884,0.005102406999981213
Localized reaction-diffusion layer,HLRC-r0,2,111,188,25,0.31645569620253167,0,74,91,0.001026822433643055,0.031651636409038744,0.031668287792051844,0.14249924533140368,0.3306155491485189,0.004224045000000842,0.009326451999982055
Localized reaction-diffusion layer,HLRC-r0,3,175,316,64,0.44755244755244755,0,192,238,0.0009005571763859611,0.023828004159913974,0.02384501594616405,0.09684426513672435,0.4506730812084059,0.006817171000079725,0.01614362300006178
Localized reaction-diffusion layer,HLRC-r0,4,283,532,108,0.4302788844621514,0,318,420,0.0008770456438366028,0.019160711240929367,0.019180773298270583,0.06810995202605008,0.5444144020986457,0.010645007999983136,0.026788631000044916
Localized reaction-diffusion layer,HLRC-r0,5,462,890,179,0.41627906976744183,0,517,757,0.0008569136945726323,0.017200787074225492,0.01722211883168819,0.04917289931387911,0.7356260111386725,0.017262611999967703,0.04405124300001262
Localized reaction-diffusion layer,HLRC-r0,6,859,1682,395,0.47878787878787876,0,1152,1607,0.0008417388334461753,0.015416373310115384,0.01543933581150981,0.03619626028937429,0.7060763445572965,0.03348607500004164,0.07753731800005426
Localized reaction-diffusion layer,HLRC-r0,7,1668,3296,805,0.4938650306748466,0,2340,3319,0.0008332355213450756,0.014524052550109393,0.014547934008386564,0.026301377671026843,0.7887004933326613,0.06588194699997985,0.1434192650000341
Localized reaction-diffusion layer,HLRC-r1,0,81,128,49,1.0,1,128,289,0.0026384577397953603,0.06120865148715092,0.0612654917234832,0.3110934215764373,0.0,0.0022227769999290103,0.0022227769999290103
Localized reaction-diffusion layer,HLRC-r1,1,86,138,13,0.24074074074074073,1,37,71,0.001451126739463085,0.044962540071480636,0.044985950901292364,0.23222128798235225,0.08445544752550997,0.0033323320000135936,0.005555108999942604
Localized reaction-diffusion layer,HLRC-r1,2,111,188,45,0.569620253164557,1,107,287,0.0006801587680243842,0.028581870668860296,0.028589962344871614,0.14388784700534887,0.06166122840417259,0.004713570999911099,0.010268679999853703
Localized reaction-diffusion layer,HLRC-r1,3,177,320,116,0.8,1,250,770,0.00035163045927743213,0.018865326841203664,0.018868603573273014,0.09562428794327375,0.05025938170575031,0.008332778999943002,0.018601458999796705
Localized reaction-diffusion layer,HLRC-r1,4,301,568,212,0.7881040892193308,1,472,1390,0.00032317489291350775,0.012503705990390883,0.012507881735351773,0.06574302963427127,0.07205812319909531,0.01443029300003218,0.033031751999828884
Localized reaction-diffusion layer,HLRC-r1,5,474,914,302,0.6832579185520362,1,681,1950,0.0002977137623800052,0.009824837965886934,0.009829347615190125,0.04810338753468837,0.12980314942613855,0.022132114999863006,0.05516386699969189
Localized reaction-diffusion layer,HLRC-r1,6,876,1718,667,0.7902843601895735,1,1460,4407,0.00028753850601715255,0.006865147031043028,0.006871165996414398,0.03492397512281737,0.0846498133935028,0.04592745700006162,0.10109132399975351
Localized reaction-diffusion layer,HLRC-r1,7,1516,2997,1054,0.7107215104517869,1,2339,6932,0.00027835392783412036,0.005424070189589655,0.005431207815093788,0.02575291053698523,0.13450392735647648,0.07440761699990617,0.17549894099965968
Localized reaction-diffusion layer,HLRC-r2,0,81,128,49,1.0,2,128,289,0.0026384577397953603,0.06120865148715092,0.0612654917234832,0.3110934215764373,0.0,0.0021564180000268607,0.0021564180000268607
Localized reaction-diffusion layer,HLRC-r2,1,86,138,23,0.42592592592592593,2,66,131,0.0013967661645098229,0.04483724562803203,0.04485899632433606,0.23222077407877137,0.030252864135741842,0.003515883999966718,0.005672301999993579
Localized reaction-diffusion layer,HLRC-r2,2,111,188,55,0.6962025316455697,2,132,347,0.0006239354340416768,0.028464670471523044,0.02847150787152392,0.1438189493056633,0.016667234531954872,0.005136578000019654,0.010808880000013232
Localized reaction-diffusion layer,HLRC-r2,3,177,320,127,0.8758620689655172,2,280,845,0.00027714933335927825,0.018814205662730194,0.018816246875306735,0.09558467066719943,0.026238772088920788,0.009376010999972095,0.020184890999985328
Localized reaction-diffusion layer,HLRC-r2,4,301,568,245,0.9107806691449815,2,516,1657,0.0002174887576172148,0.012394695327846955,0.01239660331017497,0.06598096646561191,0.04653206930524707,0.015488671999946746,0.035673562999932074
Localized reaction-diffusion layer,HLRC-r2,5,474,914,374,0.8461538461538461,2,805,2504,0.0001770038098163449,0.00968906142539238,0.009690678080181805,0.04827970372828865,0.06896387555445667,0.025600489999987985,0.06127405299992006
Localized reaction-diffusion layer,HLRC-r2,6,873,1712,765,0.9096313912009513,2,1595,5213,0.00016920700397257864,0.0067035915186100265,0.006705726676399334,0.03512443358602272,0.05063475122819439,0.04692428599992127,0.10819833899984133
Localized reaction-diffusion layer,HLRC-r2,7,1513,2991,1258,0.85,2,2669,8496,0.000156525397800506,0.00521107971827323,0.005213429967915097,0.025875871976199522,0.08051734417782681,0.07980628399991474,0.18800462299975607
Localized reaction-diffusion layer,RCHC,0,81,128,49,1.0,-1,128,289,0.0026384577397953603,0.06120865148715092,0.0612654917234832,0.3110934215764373,0.0,0.002154675999918254,0.002154675999918254
Localized reaction-diffusion layer,RCHC,1,86,138,13,0.24074074074074073,1,37,71,0.001451126739463085,0.044962540071480636,0.044985950901292364,0.23222128798235225,0.08445544752550997,0.0039340050000191695,0.006088680999937424
Localized reaction-diffusion layer,RCHC,2,111,188,45,0.569620253164557,1,107,287,0.0006801587680243842,0.028581870668860296,0.028589962344871614,0.14388784700534887,0.06166122840417259,0.00603857600003721,0.012127256999974634
Localized reaction-diffusion layer,RCHC,3,177,320,116,0.8,1,250,770,0.00035163045927743213,0.018865326841203664,0.018868603573273014,0.09562428794327375,0.05025938170575031,0.010864554000022508,0.022991810999997142
Localized reaction-diffusion layer,RCHC,4,301,568,212,0.7881040892193308,1,472,1390,0.00032317489291350775,0.012503705990390883,0.012507881735351773,0.06574302963427127,0.07205812319909531,0.01953373699984695,0.04252554799984409
Localized reaction-diffusion layer,RCHC,5,474,914,302,0.6832579185520362,1,681,1950,0.0002977137623800052,0.009824837965886934,0.009829347615190125,0.04810338753468837,0.12980314942613855,0.02818605499999194,0.07071160299983603
Localized reaction-diffusion layer,RCHC,6,876,1718,667,0.7902843601895735,1,1460,4407,0.00028753850601715255,0.006865147031043028,0.006871165996414398,0.03492397512281737,0.0846498133935028,0.05778739200002292,0.12849899499985895
Localized reaction-diffusion layer,RCHC,7,1516,2997,1054,0.7107215104517869,1,2339,6932,0.00027835392783412036,0.005424070189589655,0.005431207815093788,0.02575291053698523,0.13450392735647648,0.09465306500010229,0.22315205999996124
