Problem,Level,Halo,DOF,InteriorDOF,ActiveDOF,ActiveFraction,TouchedCells,LocalNNZ,Energy,DirectEnergy,ProlongedEnergy,RecoveryFraction,WorkNormalizedRecovery,Solve_s
High-contrast interface (1e4),5,0,1151,1077,492,0.4568245125348189,1392,2196,0.004511339603647887,0.004441253097609842,0.005740449965495838,0.9525662080283218,2.0851906626961436,0.012225742000055106
High-contrast interface (1e4),5,1,1151,1077,764,0.7093779015784587,1692,5046,0.0044471095002451356,0.004441253097609842,0.005740449965495838,0.9960648861802677,1.4041385895499323,0.020711859000016375
High-contrast interface (1e4),5,2,1151,1077,910,0.8449396471680595,1952,6092,0.004442115944412741,0.004441253097609842,0.005740449965495838,0.9994205499475307,1.1828306948280116,0.027646583999967334
High-contrast interface (1e4),5,3,1151,1077,1004,0.9322191272051996,2124,6788,0.004441467404989562,0.004441253097609842,0.005740449965495838,0.9998560910742351,1.0725547909232582,0.0279865829999153
High-contrast interface (1e4),5,999,1151,1077,1077,1.0,2226,7371,0.004441253097609843,0.004441253097609842,0.005740449965495838,1.0,1.0,0.03141788799996448
High-contrast interface (1e4),6,0,2007,1910,833,0.4361256544502618,2412,3521,0.003179864771889727,0.0031228084971512827,0.0044412530071904184,0.9639411975780376,2.210237319776773,0.021198830999992424
High-contrast interface (1e4),6,1,2007,1910,1321,0.6916230366492147,2897,8707,0.0031254394246219997,0.0031228084971512827,0.0044412530071904184,0.9983516470055539,1.4434910263289993,0.038736111999924105
High-contrast interface (1e4),6,2,2007,1910,1484,0.7769633507853403,3162,9976,0.003123663103179696,0.0031228084971512827,0.0044412530071904184,0.999464716552269,1.2863730516272465,0.04493471500006763
High-contrast interface (1e4),6,3,2007,1910,1593,0.8340314136125655,3364,10769,0.003123371111720609,0.0031228084971512827,0.0044412530071904184,0.9996476222039742,1.198573106346259,0.04719667900008062
High-contrast interface (1e4),6,999,2007,1910,1910,1.0,3915,13136,0.0031228084971512827,0.0031228084971512827,0.0044412530071904184,1.0,1.0,0.0518665360000341
High-contrast interface (1e4),7,0,3856,3722,1812,0.48683503492745833,5176,7914,0.0023979330064312736,0.002355555607061122,0.0031228084919889885,0.9520755280362405,1.9556429996417701,0.04442415799996979
High-contrast interface (1e4),7,1,3856,3722,2808,0.754433100483611,6169,18602,0.002359288647274462,0.002355555607061122,0.0031228084919889885,0.9958126371393016,1.319948231991624,0.08631692099993415
High-contrast interface (1e4),7,2,3856,3722,3227,0.8670069854916711,6883,21707,0.002356777514386488,0.002355555607061122,0.0031228084919889885,0.9986301127314622,1.1518132257782778,0.09405017000005955
High-contrast interface (1e4),7,3,3856,3722,3531,0.9486835034927459,7392,23995,0.002356111356787756,0.002355555607061122,0.0031228084919889885,0.9993770338910254,1.0534356613260822,0.09817275000000336
